accX,accY,accZ,gX,gY,gZ
-8992,2884,-5576,6106,-2223,-4720
-9164,2308,-5180,4965,-1093,-3642
-8956,1816,-5076,3754,-407,-2678
-8904,1400,-4336,2432,77,-1633
-8912,1504,-4272,1035,1155,-611
-9632,1044,-3912,74,1782,288
-9788,1596,-4288,-658,2584,1421
-10460,1440,-4632,-1670,3191,2623
-11492,1288,-5616,-2742,3946,3861
-12684,2320,-6388,-4461,4346,4843
-12544,2060,-5624,-5888,4322,5653
-12808,2852,-5608,-6670,5090,6223
-13148,3848,-7028,-8107,5014,6621
-13748,4640,-6512,-9353,4946,6904
-15252,5168,-7124,-10232,5059,7377
-18428,7264,-11664,-11708,5909,8721
-21336,7288,-15112,-14787,6386,10868
-22880,8328,-12084,-17140,5733,11933
-20764,9904,-10272,-17815,3765,10932
-18844,11996,-13024,-17916,572,9079
-16440,11048,-11972,-18350,-1568,8093
-13644,8108,-9952,-18293,-403,7865
-13812,8116,-10888,-18948,-170,8159
-12096,8024,-9976,-19193,47,8399
-12588,8352,-9752,-18446,1794,8295
-12872,8900,-10764,-17519,1672,7412
-12752,9264,-11448,-16948,741,6272
-11940,8512,-10152,-16217,184,5076
-11472,8812,-8752,-15056,478,3965
-11552,9516,-10328,-13794,1269,3272
-10444,9920,-9856,-13259,1521,2058
-11004,9736,-7904,-11613,1747,1442
-10816,9432,-7944,-9754,747,374
-9880,9944,-8052,-8508,-6,-477
-9544,9500,-6408,-7561,-571,-1805
-9980,9520,-5436,-6623,-1118,-2245
-8836,9300,-5280,-5360,223,-2434
-7684,9392,-6108,-4791,1066,-2774
-8852,9528,-7388,-4794,1914,-2833
-8820,8656,-6928,-4526,2149,-2787
-9092,7992,-5820,-3123,2859,-2678
-9288,7860,-7488,-2271,2804,-2704
-9140,7288,-8228,-2543,2223,-2680
-8728,6976,-7192,-2699,2661,-2777
-8964,6612,-6888,-2124,3676,-2720
-9500,6432,-7876,-1407,3788,-2651
-9844,6152,-7848,-577,3994,-2767
-10980,6556,-8424,522,4628,-2285
-11408,6228,-9152,1937,4916,-2097
-11624,6496,-9004,2889,5439,-2374
-11752,6820,-9012,3441,5431,-2541
-12228,6812,-8244,5038,6284,-2506
-13480,6944,-8588,7357,6163,-2492
-13660,7080,-9384,8792,5068,-3040
-15604,6740,-9780,10042,4100,-2918
-14976,6556,-9136,11044,3189,-3248
-16412,6688,-10260,11442,1757,-3739
-17040,6608,-8512,11919,8,-4864
-17500,6584,-7560,13306,456,-4933
-18660,7604,-9176,14309,-1599,-4845
-18620,7304,-9284,14640,-2566,-4742
-18152,6572,-8088,15277,-4001,-5168
-17972,7048,-8736,15655,-4979,-6410
-17964,7268,-9704,15015,-6054,-7250
-18584,6280,-7544,14804,-7036,-7176
-17960,5888,-7092,14518,-7709,-7708
-16848,5808,-6516,14719,-7848,-7637
-16428,5388,-7260,14250,-7209,-7759
-16640,4772,-8624,12804,-6911,-7829
-14832,4088,-7588,11235,-7490,-8197
-15328,3756,-6192,10915,-7614,-8210
-15108,3928,-6484,10282,-8231,-8616
-13640,3624,-7244,9037,-8649,-9109
-13740,2492,-6564,7853,-7203,-8651
-12432,1992,-6236,6909,-5374,-8104
-11840,2100,-5828,6083,-5079,-8706
-11852,2036,-6312,4761,-5736,-8898
-12260,748,-5356,3871,-5005,-8534
-12188,88,-5060,3368,-3653,-7002
-11864,-288,-3868,2841,-1950,-5837
-12664,-1204,-3236,3253,-1962,-4906
-11296,-1580,-2860,3071,-2595,-4565
-11640,-1960,-3860,3047,-1113,-3833
-13240,-2068,-4764,2832,-554,-2838
-13912,-2368,-4596,2507,-1970,-2073
-13000,-3480,-2624,2310,-2159,-1267
-12900,-4352,-2412,2239,-894,-458
-13308,-4244,-3524,2344,-57,319
-14116,-3492,-4684,1605,-120,700
-13796,-3924,-3472,714,-926,870
-13392,-4712,-2236,617,527,1306
-14508,-3952,-3604,830,1704,1600
-14244,-3372,-4300,267,1030,1299
-14192,-2956,-4320,-488,-10,671
-15144,-3164,-3404,-694,-621,149
-15284,-3308,-3932,48,1002,215
-15380,-2860,-4496,66,234,144
-15576,-3304,-3044,665,-404,104
-16200,-3996,-3684,827,-613,347
-15060,-3940,-3560,542,-1726,255
