accX,accY,accZ,gX,gY,gZ
-11588,-2592,2012,16577,1229,-3744
-12748,-3260,1352,17006,1864,-3361
-13640,-3488,1684,17193,1766,-2204
-13056,-3252,1908,16959,1345,-1403
-12908,-2464,1432,16834,1435,-1132
-13072,-2316,1756,16878,812,-1208
-14056,-2196,2340,16782,72,-968
-15528,-1792,2976,17148,519,91
-15836,-632,2388,17032,101,1146
-14704,236,2948,15884,-541,1163
-14704,72,5348,15062,-374,1550
-14344,520,5824,14863,958,2679
-14524,1652,5924,13537,403,3620
-14228,2468,8108,12414,-322,3440
-15076,2972,9636,11983,741,3555
-15548,3744,8296,11092,1039,3684
-15400,4296,8072,8671,938,3257
-15796,5220,9652,7153,826,2353
-15076,4568,10100,6047,764,1342
-15656,3876,7760,4593,2233,1346
-17068,3604,6556,2551,3359,2090
-17052,4624,7552,483,2355,2164
-14640,5200,9740,-83,797,-242
-12872,4300,8984,-219,276,-2600
-14744,2584,6556,-1488,2104,-2492
-16944,2668,5900,-3444,1798,-856
-15140,3624,8248,-4479,1812,-590
-14352,4080,8008,-4672,2163,-1772
-14436,3320,6188,-5335,1927,-2947
-15112,2168,5124,-6531,1881,-2537
-14844,2044,5764,-7344,2329,-1791
-14220,2320,6480,-7788,2448,-2478
-14732,1996,6216,-8062,1791,-3176
-15156,1392,4440,-8829,1156,-3404
-15440,832,4012,-10170,1501,-2692
-14372,1092,4572,-11031,1341,-2421
-13964,868,5148,-11565,1127,-2815
-13792,196,4868,-12001,903,-3245
-14544,-960,3480,-12719,1134,-2434
-14864,-1600,3216,-13727,1127,-1363
-13940,-1336,4388,-14166,1330,-881
-13356,-652,4828,-14387,1657,-1752
-14328,-816,4112,-14451,1440,-2304
-14260,-1920,3820,-14479,1224,-2203
-14616,-2460,3420,-14577,1253,-1545
-14884,-2664,3468,-14551,1525,-918
-14704,-2740,3516,-14424,1323,-954
-14776,-2768,3388,-14246,594,-1303
-14704,-2976,2576,-14272,-302,-1313
-14792,-3504,2028,-14539,-824,-1209
-14588,-3792,2376,-14835,-573,-723
-14064,-3864,2628,-14860,-369,-463
-14280,-3800,1804,-14976,-433,-638
-14404,-4028,1172,-15368,-567,-625
-14580,-4364,820,-15796,-785,-242
-14524,-4672,692,-16196,-459,92
-14224,-4380,940,-16379,-523,88
-14324,-4404,776,-16486,-1009,-5
-14208,-4556,100,-16535,-1270,122
-14356,-4712,-92,-16512,-1407,521
-13824,-4992,-376,-16433,-1001,760
-14020,-4936,-876,-16355,-908,847
-14312,-4984,-728,-16265,-1398,971
