accX,accY,accZ,gX,gY,gZ
-10868,10052,-9488,6872,-573,6711
-11212,11488,-7952,7091,-2654,6622
-10344,12292,-7196,8632,-2585,6724
-12876,14560,-8992,10224,-1970,6371
-12840,15340,-9352,10935,-3355,5511
-11916,14732,-6804,13508,-3243,3854
-12608,13384,-6572,16264,-2724,3513
-13112,13572,-8724,18094,-3088,2375
-15120,14132,-10640,18812,-5992,1370
-13632,13796,-9820,19378,-7285,-728
-14532,13524,-9480,20694,-8174,-626
-14088,14572,-11184,21442,-8899,-2505
-13516,14996,-11904,21354,-9597,-4007
-12780,14028,-11412,21262,-8690,-5618
-13928,14480,-11788,20857,-9572,-6740
-12352,14560,-10940,20392,-9182,-9302
-13040,14068,-11436,19867,-8291,-10632
-13556,12804,-11212,18429,-7700,-11832
-15084,13496,-8108,17980,-10057,-12403
-14012,12192,-7340,17701,-13271,-13640
-10556,10820,-7740,16988,-9340,-14381
-12492,10328,-8068,15787,-6157,-14807
-12544,9768,-7952,13689,-7387,-14986
-12848,8328,-6656,11711,-9066,-14182
-11232,7356,-5324,10012,-10252,-13297
-11348,7792,-5792,8237,-8960,-12497
-10344,6476,-4516,6656,-8214,-11829
-9800,5884,-3932,5449,-7484,-9849
-9248,5552,-3912,4222,-6786,-8196
-8576,4948,-4104,2992,-5281,-6384
-7764,4916,-3880,1727,-2423,-4477
-8400,4188,-2972,894,-1224,-1991
-8276,3784,-2876,311,-1841,53
-7308,3996,-4140,-1454,-1571,2164
-7348,3948,-5012,-3113,364,4178
-7840,4308,-5100,-5160,2067,6354
-8864,5040,-3940,-6165,3725,8844
-8296,5384,-4540,-7074,3209,10472
-8636,7612,-4692,-9189,3780,10587
-10252,8056,-5756,-11058,3978,11162
-11780,8488,-4088,-12318,3168,12421
-12780,9168,-2820,-12043,5067,14406
-11204,10080,-4164,-12547,7036,14941
-13768,10948,-5928,-13606,7266,15505
-13272,12380,-6996,-16015,5337,15603
-11708,11760,-5672,-17131,8520,16286
-11320,13100,-5884,-17632,14393,15981
-16284,14984,-8672,-18787,15484,15716
-17280,15456,-8952,-20373,9431,14891
-13784,15828,-8580,-21339,6554,13380
-12132,16472,-8576,-20887,12088,12209
-15724,17552,-10340,-21380,11818,10706
-16980,18572,-10868,-21798,7331,8678
-14708,18376,-10084,-21482,6763,6645
-14688,18096,-8548,-20357,9686,4543
-15520,17448,-9792,-19829,8083,2118
-13124,16500,-10492,-19148,6832,-418
-13904,15156,-9944,-18940,7665,-3476
-11412,13012,-8608,-17487,8784,-5129
-13508,11392,-9676,-14959,8700,-7020
-11136,10812,-8908,-13695,7017,-8488
-11704,8836,-8312,-12155,6393,-9190
-10564,8096,-9108,-11161,4773,-10035
-10476,7496,-8788,-10723,4069,-10590
-10900,6564,-7296,-10039,3279,-10468
-9608,5832,-5364,-8831,1883,-10221
-8276,5316,-4548,-7738,2785,-9434
-8416,4988,-4496,-6753,3286,-8110
-7904,4736,-4188,-6381,3558,-6560
-8204,3440,-1792,-4809,3227,-4705
-8196,3460,-1152,-2511,2489,-2441
-8800,4804,-2776,-1046,2508,346
-9752,5420,-4236,-347,612,2493
-8988,4756,-3300,604,-1861,4161
-7816,4616,-1788,2016,-3126,6089
-6088,4804,-2260,3109,-2345,7906
-8772,6224,-5216,4281,721,10044
-9228,7180,-5888,4804,-153,10301
-9800,8764,-5332,4550,-1341,10515
-8208,8856,-5000,5202,1279,11559
-8480,10956,-6388,6687,6741,11788
-12852,14912,-6656,7997,7669,11022
-16780,17392,-7100,9604,-93,9704
-13428,18196,-8160,11552,-3135,7108
-13748,18444,-10148,13096,-2404,5496
-15300,17560,-8628,15057,-3797,3289
-14064,16024,-7248,18266,-5739,1539
-12116,14832,-9224,21016,-6758,37
-13340,14044,-10476,22333,-5820,-1615
-13568,14536,-12516,22948,-4471,-3721
-12636,14132,-11700,23543,-4618,-5615
-12972,14228,-11564,24126,-5693,-7406
-12328,14564,-12820,23950,-6123,-9345
-10316,15276,-14404,22589,-5887,-13304
-11984,13832,-11852,21556,-2021,-15132
-15828,11128,-8916,23073,-383,-13982
-17784,11928,-11012,23366,-1687,-13980
-15836,11784,-12336,22075,-3968,-15069
-14256,10324,-12064,21022,-2430,-14706
-13608,8872,-10576,20059,-1499,-14227
-14640,8028,-9932,18657,-2981,-13840
-13680,6288,-7844,16774,-6794,-12684
-11644,6268,-6484,15657,-8499,-12355
-8784,5232,-5820,15292,-7397,-12813
-10508,5096,-6788,14389,-5641,-11992
-11096,4940,-7036,12056,-5802,-10488
-10800,4772,-6864,9931,-6498,-7749
-10632,4560,-7564,7145,-7678,-5074
-6408,4276,-6172,5203,-9352,-5140
-5400,4220,-5124,3403,-7455,-4242
-5992,3576,-4752,2008,-2789,-1506
-7384,4124,-5612,168,-499,1007
-7448,3980,-5700,-1308,86,3021
-7592,4608,-6020,-3075,1102,4595
-7620,4816,-6288,-5217,1880,6075
-7512,4408,-5548,-6920,3445,7865
-8316,4388,-4948,-8166,6675,10329
-8832,5184,-6336,-9788,6735,11393
-11892,6340,-6524,-12192,3631,11611
-11392,6008,-5144,-13563,2599,13207
-10196,6576,-5064,-14132,5449,14829
-10252,8488,-8396,-15966,9470,15698
-12916,8696,-8492,-17049,11604,17111
-14080,10804,-8396,-18734,11209,17654
-12716,11936,-9276,-20333,10108,16858
-13520,14688,-11068,-22141,9445,15182
-14776,15256,-10884,-23312,9614,15632
-14188,16164,-9808,-23371,8901,14267
-14304,17004,-9504,-23293,7229,12827
-14108,18244,-11716,-22676,6241,11650
-13720,19228,-12584,-22102,6856,10032
-15344,17888,-11480,-21407,4784,8208
-12780,17660,-12428,-21369,4071,6181
-11848,17376,-11388,-20892,8247,4076
-14672,17928,-11472,-20178,8824,1821
-14092,18268,-11212,-19723,5071,-1027
-10956,17780,-11708,-19187,3854,-3831
-9132,16896,-11468,-17967,5524,-7314
-10328,15924,-10328,-16643,4878,-8235
-9780,14300,-9932,-14611,4676,-10708
-8308,12728,-10248,-13147,3468,-12268
-8164,10420,-9480,-11735,2918,-13306
-7968,9016,-9372,-10615,2053,-13877
-9100,8260,-9468,-9522,202,-13527
-9832,6112,-8380,-10120,-10012,-11685
-8260,5640,-9132,-10215,-6733,-10286
-6156,5240,-6036,-9654,-6714,-8766
-5468,3936,-4164,-7986,-4831,-8177
-5304,4096,-3192,-5686,-2107,-6598
-4616,3984,-2916,-3085,821,-5312
-6312,3904,-3444,-1230,1859,-3669
-6080,3728,-2956,658,3608,-1891
-7752,3460,-3272,2682,5604,546
-9012,3984,-5212,4065,5792,3848
-9748,4748,-6340,4688,3854,5124
-8424,5728,-5500,5156,1027,6184
-6416,5312,-4400,5797,2148,6854
-4928,5428,-4752,6329,6121,7057
-10628,6920,-7864,6587,7849,7140
-12472,9644,-7812,5540,5431,7515
-11524,10116,-4496,6634,5301,7892
-11748,11516,-5212,9245,8174,7904
-15320,13776,-8284,11048,7719,7642
-17292,15488,-9372,11528,5856,6892
-19792,17200,-8884,13162,891,6419
-17472,16988,-8660,14857,-1742,5282
-18216,17344,-8960,16997,-2717,3802
-17052,15908,-9340,18764,-4694,2685
-14784,14584,-8972,20349,-6915,1117
-13124,14812,-9788,21839,-8261,-963
-13796,15276,-12284,22320,-8197,-3099
-13892,14208,-11760,22601,-8707,-4716
-13440,14128,-11192,22874,-7887,-5489
-13104,14328,-11664,22795,-6472,-6688
-11924,13344,-11500,22495,-5192,-9010
-13052,12764,-11388,21969,-4987,-9825
-13248,11616,-10404,21303,-5523,-10911
-13108,11180,-10196,20464,-3889,-12051
-13264,9756,-10572,19461,-3635,-12030
-13212,9676,-10544,17576,-4293,-13000
